date,open,high,low,close,volume
2016-12-16,12.0,12.0,12.0,12.0,0.0
2016-12-19,12.0,12.0,12.0,12.0,0.0
2016-12-20,12.0,12.0,12.0,12.0,0.0
2016-12-21,12.0,12.0,12.0,12.0,0.0
2016-12-22,12.0,12.0,12.0,12.0,0.0
2016-12-23,12.0,12.0,12.0,12.0,0.0
2016-12-26,12.0,12.0,12.0,12.0,0.0
2016-12-27,12.0,12.0,12.0,12.0,0.0
2016-12-28,12.0,12.0,12.0,12.0,0.0
2016-12-29,12.0,12.0,12.0,12.0,0.0
2016-12-30,12.0,12.0,12.0,12.0,0.0
2017-01-03,12.0,12.0,12.0,12.0,0.0
2017-01-04,12.0,12.0,12.0,12.0,0.0
2017-01-05,12.0,12.0,12.0,12.0,0.0
2017-01-06,12.0,12.0,12.0,12.0,0.0
2017-01-09,12.0,12.0,12.0,12.0,0.0
2017-01-10,12.0,12.0,12.0,12.0,0.0
2017-01-11,12.0,12.0,12.0,12.0,0.0
2017-01-12,12.0,12.0,12.0,12.0,0.0
2017-01-13,12.0,12.0,12.0,12.0,0.0
2017-01-16,12.0,12.0,12.0,12.0,0.0
2017-01-17,12.0,12.0,12.0,12.0,0.0
2017-01-18,12.0,12.0,12.0,12.0,0.0
2017-01-19,12.0,12.0,12.0,12.0,0.0
2017-01-20,12.0,12.0,12.0,12.0,0.0
2017-01-23,12.0,12.0,12.0,12.0,0.0
2017-01-24,12.0,12.0,12.0,12.0,0.0
2017-01-25,12.0,12.0,12.0,12.0,0.0
2017-02-02,12.0,12.0,12.0,12.0,0.0
2017-02-03,12.0,12.0,12.0,12.0,0.0
2017-02-06,12.0,12.0,12.0,12.0,0.0
2017-02-07,12.0,12.0,12.0,12.0,0.0
2017-02-08,12.0,12.0,12.0,12.0,0.0
2017-02-09,12.0,12.0,12.0,12.0,0.0
2017-02-10,12.0,12.0,12.0,12.0,0.0
2017-02-13,12.0,12.0,12.0,12.0,0.0
2017-02-14,12.0,12.0,12.0,12.0,0.0
2017-02-15,12.0,12.0,12.0,12.0,0.0
2017-02-16,12.0,12.0,12.0,12.0,0.0
2017-02-17,12.0,12.0,12.0,12.0,0.0
2017-02-20,12.0,12.0,12.0,12.0,0.0
2017-02-21,12.0,12.0,12.0,12.0,0.0
2017-02-22,12.0,12.0,12.0,12.0,0.0
2017-02-23,12.0,12.0,12.0,12.0,0.0
2017-02-24,12.0,12.0,12.0,12.0,0.0
2017-02-27,12.0,12.0,12.0,12.0,0.0
2017-02-28,12.0,12.0,12.0,12.0,0.0
2017-03-01,12.0,12.0,12.0,12.0,0.0
2017-03-02,12.0,12.0,12.0,12.0,0.0
2017-03-03,12.0,12.0,12.0,12.0,0.0
2017-03-06,12.0,12.0,12.0,12.0,0.0
2017-03-07,12.0,12.0,12.0,12.0,0.0
2017-03-08,12.0,12.0,12.0,12.0,0.0
2017-03-09,12.0,12.0,12.0,12.0,0.0
2017-03-10,12.0,12.0,12.0,12.0,0.0
2017-03-13,12.0,12.0,12.0,12.0,0.0
2017-03-14,12.0,12.0,12.0,12.0,0.0
2017-03-15,12.0,12.0,12.0,12.0,0.0
2017-03-16,12.0,12.0,12.0,12.0,0.0
2017-03-17,12.0,12.0,12.0,12.0,0.0
2017-03-20,12.0,12.0,12.0,12.0,0.0
2017-03-21,12.0,12.0,12.0,12.0,0.0
2017-03-22,12.0,12.0,12.0,12.0,0.0
2017-03-23,12.0,12.0,12.0,12.0,0.0
